idPago,FechaPago,numeroServicio,formaPago,cedulaCliente,subtotal,valorPagar369939546,12/03/23,174002531,TC,0923547362,20.35,20.35

147720289,12/07/23,125157162,E,0923547362,6.0,6.0

962953131,12/03/23,711078948,E,0923547362,4.0,4.0

952038084,23/07/12,93228859,E,0923547362,7.0,7.0

968231759,12/09/23,150197009,TC,0923547362,12.0,12.0

955495905,12/12/12,941624752,TC,0923547362,4.4,4.4

346350775,12/12/12,545514751,E,0923547362,16.0,16.0

400428502,12/03/12,416815824,TC,0923547362,13.75,13.75

671153494,12/12/12,169468429,E,0923547362,12.0,12.0
